"from","to","relation","date"
"75962451594","55520251015","SPOUSE","2016-09-21"
"55520251015","75962451594","SPOUSE","2016-09-21"
"63451829859","95272307499","SPOUSE","2006-11-28"
"95272307499","63451829859","SPOUSE","2006-11-28"
"45505770326","95770172859","PARENT","1983-05-06"
"95770172859","45505770326","OFFSPRING","1983-05-06"
"98482195956","98047481589","SIBLING","1993-05-23"
"98047481589","98482195956","SIBLING","1993-05-23"
"36636480238","14223566899","SIBLING","1995-11-13"
"14223566899","36636480238","SIBLING","1995-11-13"
"68962460369","44125723251","SIBLING","1973-12-16"
"44125723251","68962460369","SIBLING","1973-12-16"
"57314658479","89925318178","PARENT","1993-02-26"
"89925318178","57314658479","OFFSPRING","1993-02-26"
"44411268297","60761306380","SPOUSE","1997-01-21"
"60761306380","44411268297","SPOUSE","1997-01-21"
"56878000660","13451630456","SPOUSE","2006-01-03"
"13451630456","56878000660","SPOUSE","2006-01-03"
"83210932858","17801268117","SIBLING","1987-10-27"
"17801268117","83210932858","SIBLING","1987-10-27"
"51213510107","48148266529","PARENT","1971-08-03"
"48148266529","51213510107","OFFSPRING","1971-08-03"
"36710151374","55964310436","SPOUSE","2018-11-21"
"55964310436","36710151374","SPOUSE","2018-11-21"
"81555074670","67762151073","SPOUSE","1988-08-01"
"67762151073","81555074670","SPOUSE","1988-08-01"
"75552723746","72297590854","SPOUSE","1996-03-25"
"72297590854","75552723746","SPOUSE","1996-03-25"
"23184900763","53339890530","SIBLING","1998-01-01"
"53339890530","23184900763","SIBLING","1998-01-01"
"15782648450","71684917851","SPOUSE","1981-03-27"
"71684917851","15782648450","SPOUSE","1981-03-27"
"71556626140","48420646465","SPOUSE","2013-01-29"
"48420646465","71556626140","SPOUSE","2013-01-29"
"87886814946","71969749151","SPOUSE","2014-12-12"
"71969749151","87886814946","SPOUSE","2014-12-12"
"66674662115","99349936737","SIBLING","2012-03-22"
"99349936737","66674662115","SIBLING","2012-03-22"
"39124077707","47061569544","SIBLING","1985-09-10"
"47061569544","39124077707","SIBLING","1985-09-10"
"31555897488","54163251947","PARENT","2009-03-18"
"54163251947","31555897488","OFFSPRING","2009-03-18"
"84107482348","42086075386","SPOUSE","1992-10-19"
"42086075386","84107482348","SPOUSE","1992-10-19"
"52303995690","31962844728","PARENT","1998-01-28"
"31962844728","52303995690","OFFSPRING","1998-01-28"
"79189555591","92684324101","SIBLING","2013-08-27"
"92684324101","79189555591","SIBLING","2013-08-27"
"52184325160","40000645916","SIBLING","2014-10-09"
"40000645916","52184325160","SIBLING","2014-10-09"
"15843330822","15667793244","SPOUSE","2012-08-01"
"15667793244","15843330822","SPOUSE","2012-08-01"
"59563761493","60011769788","PARENT","2005-04-04"
"60011769788","59563761493","OFFSPRING","2005-04-04"
"48420646465","61997206743","SPOUSE","2001-05-05"
"61997206743","48420646465","SPOUSE","2001-05-05"
"47217988584","92909745369","SPOUSE","2004-09-04"
"92909745369","47217988584","SPOUSE","2004-09-04"
"28348006510","26048847938","PARENT","2001-09-20"
"26048847938","28348006510","OFFSPRING","2001-09-20"
"91380358564","63394915199","SPOUSE","1980-07-28"
"63394915199","91380358564","SPOUSE","1980-07-28"
"77918330119","61990668271","SIBLING","1976-09-22"
"61990668271","77918330119","SIBLING","1976-09-22"
"12393030903","57610318699","SPOUSE","1978-02-07"
"57610318699","12393030903","SPOUSE","1978-02-07"
"30204245604","28364021916","SIBLING","2000-05-20"
"28364021916","30204245604","SIBLING","2000-05-20"
"92956707556","30255710506","SPOUSE","1996-02-04"
"30255710506","92956707556","SPOUSE","1996-02-04"
"96795692294","13157584400","PARENT","1974-01-19"
"13157584400","96795692294","OFFSPRING","1974-01-19"
"16566359226","47862152077","PARENT","2015-06-11"
"47862152077","16566359226","OFFSPRING","2015-06-11"
"47751703875","15003594173","SPOUSE","1975-11-30"
"15003594173","47751703875","SPOUSE","1975-11-30"
"13282625293","26828216099","SIBLING","1981-07-24"
"26828216099","13282625293","SIBLING","1981-07-24"
"36724900488","39652710897","PARENT","2005-12-31"
"39652710897","36724900488","OFFSPRING","2005-12-31"
"10324663293","88313287805","SIBLING","2000-04-06"
"88313287805","10324663293","SIBLING","2000-04-06"
"73333406253","57271898141","PARENT","1990-08-07"
"57271898141","73333406253","OFFSPRING","1990-08-07"
"29706396605","69332617546","SPOUSE","1999-06-01"
"69332617546","29706396605","SPOUSE","1999-06-01"
"50433054035","59221254104","SPOUSE","1997-06-15"
"59221254104","50433054035","SPOUSE","1997-06-15"
"45404323507","17306806526","SIBLING","1990-09-09"
"17306806526","45404323507","SIBLING","1990-09-09"
"80146288730","94942267704","PARENT","1977-02-06"
"94942267704","80146288730","OFFSPRING","1977-02-06"
"17424629735","46757297078","SIBLING","2009-07-19"
"46757297078","17424629735","SIBLING","2009-07-19"
"89218489976","36137625044","PARENT","2005-01-24"
"36137625044","89218489976","OFFSPRING","2005-01-24"
"67584771869","53293729641","SIBLING","1991-02-17"
"53293729641","67584771869","SIBLING","1991-02-17"
"73343717307","60527168217","PARENT","2007-12-24"
"60527168217","73343717307","OFFSPRING","2007-12-24"
"59787783595","91670427241","SIBLING","1979-12-15"
"91670427241","59787783595","SIBLING","1979-12-15"
"31215738228","25866348293","SIBLING","2019-04-11"
"25866348293","31215738228","SIBLING","2019-04-11"
"65123069293","80043026343","PARENT","2005-12-07"
"80043026343","65123069293","OFFSPRING","2005-12-07"
"98838751589","96805356900","PARENT","1986-07-30"
"96805356900","98838751589","OFFSPRING","1986-07-30"
"61764625087","85878231420","SPOUSE","2014-10-18"
"85878231420","61764625087","SPOUSE","2014-10-18"
"70101552969","41970053966","PARENT","2000-09-18"
"41970053966","70101552969","OFFSPRING","2000-09-18"
"75057465560","15753506248","SPOUSE","2007-04-27"
"15753506248","75057465560","SPOUSE","2007-04-27"
"42006679724","11498795983","PARENT","2010-07-13"
"11498795983","42006679724","OFFSPRING","2010-07-13"
"36256345061","81162434084","SPOUSE","1997-05-07"
"81162434084","36256345061","SPOUSE","1997-05-07"
"50017184473","33770819582","PARENT","1976-01-23"
"33770819582","50017184473","OFFSPRING","1976-01-23"
"36934382498","67573991054","PARENT","2000-08-13"
"67573991054","36934382498","OFFSPRING","2000-08-13"
"76073552394","58346204824","PARENT","2008-03-09"
"58346204824","76073552394","OFFSPRING","2008-03-09"
"36819594483","75663770702","SIBLING","2013-10-19"
"75663770702","36819594483","SIBLING","2013-10-19"
"14633406903","99451022161","PARENT","2014-10-09"
"99451022161","14633406903","OFFSPRING","2014-10-09"
"16795882215","92221346523","SIBLING","1974-07-04"
"92221346523","16795882215","SIBLING","1974-07-04"
"88904185044","19038967654","PARENT","2010-05-08"
"19038967654","88904185044","OFFSPRING","2010-05-08"
"14311130086","60735546958","PARENT","2011-12-22"
"60735546958","14311130086","OFFSPRING","2011-12-22"
"39158538543","54946448666","SIBLING","1992-08-16"
"54946448666","39158538543","SIBLING","1992-08-16"
"35563361282","47198489677","SPOUSE","2013-03-27"
"47198489677","35563361282","SPOUSE","2013-03-27"
"68854799693","99881209670","PARENT","1999-07-06"
"99881209670","68854799693","OFFSPRING","1999-07-06"
"97849344514","78871153891","SIBLING","2019-11-22"
"78871153891","97849344514","SIBLING","2019-11-22"
"85557211854","99002638931","PARENT","2009-02-18"
"99002638931","85557211854","OFFSPRING","2009-02-18"
"15637386371","28383916795","SIBLING","2005-06-29"
"28383916795","15637386371","SIBLING","2005-06-29"
"81444394619","53119937595","PARENT","1970-03-01"
"53119937595","81444394619","OFFSPRING","1970-03-01"
"60352378319","41635098139","SPOUSE","1991-12-29"
"41635098139","60352378319","SPOUSE","1991-12-29"
"16563249597","33536894854","SPOUSE","1989-09-09"
"33536894854","16563249597","SPOUSE","1989-09-09"
"21373821431","39124077707","PARENT","2021-01-13"
"39124077707","21373821431","OFFSPRING","2021-01-13"
"28664500426","78614219579","PARENT","2020-08-03"
"78614219579","28664500426","OFFSPRING","2020-08-03"
"10452668791","92945445717","PARENT","2017-03-30"
"92945445717","10452668791","OFFSPRING","2017-03-30"
"69819301348","24227754139","PARENT","2013-07-29"
"24227754139","69819301348","OFFSPRING","2013-07-29"
"74855450170","84129325564","SPOUSE","1995-02-02"
"84129325564","74855450170","SPOUSE","1995-02-02"
"15529194056","51023615082","PARENT","1971-08-21"
"51023615082","15529194056","OFFSPRING","1971-08-21"
"32832694834","18702527528","SIBLING","2004-04-05"
"18702527528","32832694834","SIBLING","2004-04-05"
"74413934284","84420900976","SPOUSE","2008-11-21"
"84420900976","74413934284","SPOUSE","2008-11-21"
"39882321260","60559865223","SPOUSE","2013-08-22"
"60559865223","39882321260","SPOUSE","2013-08-22"
"65930091671","99891763078","SPOUSE","2006-12-03"
"99891763078","65930091671","SPOUSE","2006-12-03"
"96182925094","62822717661","SIBLING","2005-11-08"
"62822717661","96182925094","SIBLING","2005-11-08"
"37425820267","46839169388","PARENT","1977-05-12"
"46839169388","37425820267","OFFSPRING","1977-05-12"
"67154430891","85092096118","SPOUSE","2015-02-26"
"85092096118","67154430891","SPOUSE","2015-02-26"
"86740752460","24670850842","SIBLING","2007-11-01"
"24670850842","86740752460","SIBLING","2007-11-01"
"49738336196","90209263643","PARENT","2001-11-27"
"90209263643","49738336196","OFFSPRING","2001-11-27"
"75344691005","25187080543","PARENT","2004-10-28"
"25187080543","75344691005","OFFSPRING","2004-10-28"
"59647307419","82571706704","PARENT","1995-04-20"
"82571706704","59647307419","OFFSPRING","1995-04-20"
"32314648325","79672457464","PARENT","2000-03-05"
"79672457464","32314648325","OFFSPRING","2000-03-05"
"20145762599","46094007825","SIBLING","1986-12-02"
"46094007825","20145762599","SIBLING","1986-12-02"
"80631564124","97963505680","PARENT","1994-06-03"
"97963505680","80631564124","OFFSPRING","1994-06-03"
"67139989370","65834764920","PARENT","1975-12-04"
"65834764920","67139989370","OFFSPRING","1975-12-04"
"74000560098","68923642809","SPOUSE","2019-10-09"
"68923642809","74000560098","SPOUSE","2019-10-09"
"78570954358","61862334406","PARENT","1998-10-29"
"61862334406","78570954358","OFFSPRING","1998-10-29"
"42519806160","21811156854","PARENT","1998-10-10"
"21811156854","42519806160","OFFSPRING","1998-10-10"
"17834337610","27751669165","SPOUSE","1999-11-02"
"27751669165","17834337610","SPOUSE","1999-11-02"
"86916571255","22000451681","PARENT","1979-08-09"
"22000451681","86916571255","OFFSPRING","1979-08-09"
"73658937863","78204258467","SPOUSE","1980-12-07"
"78204258467","73658937863","SPOUSE","1980-12-07"
"17831820739","45192304559","PARENT","2012-09-27"
"45192304559","17831820739","OFFSPRING","2012-09-27"
"74413934284","79863513657","SIBLING","1970-04-20"
"79863513657","74413934284","SIBLING","1970-04-20"
"26654488192","52785872716","SPOUSE","1982-11-28"
"52785872716","26654488192","SPOUSE","1982-11-28"
"77482270300","52778454360","SIBLING","1999-12-22"
"52778454360","77482270300","SIBLING","1999-12-22"
"92243111241","44819454674","SPOUSE","2011-12-23"
"44819454674","92243111241","SPOUSE","2011-12-23"
"81040495181","79932111714","PARENT","2013-07-21"
"79932111714","81040495181","OFFSPRING","2013-07-21"
"62029184566","32763879061","SPOUSE","1993-09-24"
"32763879061","62029184566","SPOUSE","1993-09-24"
"13331369118","35665074859","SIBLING","2019-08-16"
"35665074859","13331369118","SIBLING","2019-08-16"
"58391247260","47862152077","SPOUSE","1997-03-30"
"47862152077","58391247260","SPOUSE","1997-03-30"
"19627640759","63509876002","SIBLING","2010-11-29"
"63509876002","19627640759","SIBLING","2010-11-29"
"48856531883","98201300132","SIBLING","1984-07-19"
"98201300132","48856531883","SIBLING","1984-07-19"
"33366670511","80269750708","SPOUSE","1988-10-25"
"80269750708","33366670511","SPOUSE","1988-10-25"
"96362947948","31518512524","SIBLING","2018-03-28"
"31518512524","96362947948","SIBLING","2018-03-28"
"25051858280","43465301612","SPOUSE","2019-07-10"
"43465301612","25051858280","SPOUSE","2019-07-10"
"66405284204","62238655723","SIBLING","1973-05-01"
"62238655723","66405284204","SIBLING","1973-05-01"
"80713408682","88779128872","SIBLING","2018-03-30"
"88779128872","80713408682","SIBLING","2018-03-30"
"22165495616","54181401788","PARENT","2006-08-20"
"54181401788","22165495616","OFFSPRING","2006-08-20"
"25738122232","27906990952","PARENT","1983-11-02"
"27906990952","25738122232","OFFSPRING","1983-11-02"
"46119249413","47674490027","SIBLING","2017-03-17"
"47674490027","46119249413","SIBLING","2017-03-17"
"73368650713","59723340207","SIBLING","2001-02-21"
"59723340207","73368650713","SIBLING","2001-02-21"
"33761085298","71181373939","SIBLING","2004-06-25"
"71181373939","33761085298","SIBLING","2004-06-25"
"36156692176","73274915432","SPOUSE","2008-07-20"
"73274915432","36156692176","SPOUSE","2008-07-20"
"58726359569","93121763854","PARENT","1980-03-02"
"93121763854","58726359569","OFFSPRING","1980-03-02"
"54560852002","49323662250","SPOUSE","1990-02-26"
"49323662250","54560852002","SPOUSE","1990-02-26"
"18545237813","89681878291","PARENT","2017-10-14"
"89681878291","18545237813","OFFSPRING","2017-10-14"
"36475887652","85417603792","PARENT","1977-08-30"
"85417603792","36475887652","OFFSPRING","1977-08-30"
"43445612099","71448712135","SPOUSE","1997-10-12"
"71448712135","43445612099","SPOUSE","1997-10-12"
"72530647433","96207841950","PARENT","1991-05-27"
"96207841950","72530647433","OFFSPRING","1991-05-27"
"93202146666","16277696751","SPOUSE","1985-08-20"
"16277696751","93202146666","SPOUSE","1985-08-20"
"71080826725","24197029268","SPOUSE","2007-03-18"
"24197029268","71080826725","SPOUSE","2007-03-18"
"64699841565","56101689856","SIBLING","2010-12-24"
"56101689856","64699841565","SIBLING","2010-12-24"
"76238983335","59025540813","SPOUSE","1984-10-27"
"59025540813","76238983335","SPOUSE","1984-10-27"
"62747728238","55333261131","SIBLING","1984-03-03"
"55333261131","62747728238","SIBLING","1984-03-03"
"80967796824","10156446578","PARENT","2014-04-07"
"10156446578","80967796824","OFFSPRING","2014-04-07"
"11655361960","32330839796","PARENT","1988-06-14"
"32330839796","11655361960","OFFSPRING","1988-06-14"
"57262808190","25866348293","SPOUSE","2014-12-29"
"25866348293","57262808190","SPOUSE","2014-12-29"
"44812141092","31562463826","PARENT","2010-09-03"
"31562463826","44812141092","OFFSPRING","2010-09-03"
"97406776258","77756258238","SIBLING","1993-11-13"
"77756258238","97406776258","SIBLING","1993-11-13"
"52937205318","96334531812","SIBLING","2011-07-31"
"96334531812","52937205318","SIBLING","2011-07-31"
"31548396253","34101314715","SPOUSE","2010-06-11"
"34101314715","31548396253","SPOUSE","2010-06-11"
"29809061822","97074249538","SPOUSE","2009-09-20"
"97074249538","29809061822","SPOUSE","2009-09-20"
"22985014031","85656417720","SPOUSE","1980-04-09"
"85656417720","22985014031","SPOUSE","1980-04-09"
"86889574614","45000000640","SPOUSE","2018-08-18"
"45000000640","86889574614","SPOUSE","2018-08-18"
"81396644499","88949503629","PARENT","1998-10-24"
"88949503629","81396644499","OFFSPRING","1998-10-24"
"76371462943","46508680499","SIBLING","1988-05-21"
"46508680499","76371462943","SIBLING","1988-05-21"
"62954300035","80358881102","SPOUSE","1983-10-13"
"80358881102","62954300035","SPOUSE","1983-10-13"
"36221338139","39921368941","SPOUSE","1995-10-19"
"39921368941","36221338139","SPOUSE","1995-10-19"
"68265157249","76693606322","PARENT","2012-07-10"
"76693606322","68265157249","OFFSPRING","2012-07-10"
"84040427676","85092455144","PARENT","2000-06-15"
"85092455144","84040427676","OFFSPRING","2000-06-15"
"43573476153","83731865367","PARENT","1993-08-29"
"83731865367","43573476153","OFFSPRING","1993-08-29"
"86582764471","49002515007","SPOUSE","2002-09-03"
"49002515007","86582764471","SPOUSE","2002-09-03"
"61283655591","35238740293","SPOUSE","2012-06-20"
"35238740293","61283655591","SPOUSE","2012-06-20"
"86863964922","88015408290","SIBLING","2014-09-19"
"88015408290","86863964922","SIBLING","2014-09-19"
"59720391120","92846874755","SIBLING","1970-08-09"
"92846874755","59720391120","SIBLING","1970-08-09"
"72213254147","53356415777","PARENT","1986-07-25"
"53356415777","72213254147","OFFSPRING","1986-07-25"
"87043891661","25180794780","SPOUSE","2013-07-27"
"25180794780","87043891661","SPOUSE","2013-07-27"
"91768649470","46386983232","SPOUSE","2009-12-28"
"46386983232","91768649470","SPOUSE","2009-12-28"
"41605053817","63451239828","SIBLING","1986-05-16"
"63451239828","41605053817","SIBLING","1986-05-16"
"54227229084","46588602891","PARENT","1974-05-20"
"46588602891","54227229084","OFFSPRING","1974-05-20"
"32526260180","84008983278","SIBLING","1978-03-08"
"84008983278","32526260180","SIBLING","1978-03-08"
"55889207603","98360513746","SPOUSE","1980-07-11"
"98360513746","55889207603","SPOUSE","1980-07-11"
"78056347001","76027187743","SIBLING","2006-09-08"
"76027187743","78056347001","SIBLING","2006-09-08"
"49018675787","71482759711","PARENT","1978-02-27"
"71482759711","49018675787","OFFSPRING","1978-02-27"
"13927034152","67383002908","PARENT","1994-02-24"
"67383002908","13927034152","OFFSPRING","1994-02-24"
"75051769021","25855268233","SPOUSE","1994-05-20"
"25855268233","75051769021","SPOUSE","1994-05-20"
"70101552969","12471358970","PARENT","1990-01-08"
"12471358970","70101552969","OFFSPRING","1990-01-08"
"65098895797","59081533083","PARENT","1975-11-09"
"59081533083","65098895797","OFFSPRING","1975-11-09"
"77482270300","53976880104","SIBLING","1979-01-27"
"53976880104","77482270300","SIBLING","1979-01-27"
"59098519765","72035888230","PARENT","1973-06-08"
"72035888230","59098519765","OFFSPRING","1973-06-08"
"61486239562","89343248609","PARENT","2019-10-28"
"89343248609","61486239562","OFFSPRING","2019-10-28"
"38020693408","56569181863","PARENT","1973-09-15"
"56569181863","38020693408","OFFSPRING","1973-09-15"
"42441703976","85227581085","SIBLING","1981-07-20"
"85227581085","42441703976","SIBLING","1981-07-20"
"17563023170","29775138317","SPOUSE","1985-07-24"
"29775138317","17563023170","SPOUSE","1985-07-24"
"18512579978","75489183693","PARENT","2019-07-13"
"75489183693","18512579978","OFFSPRING","2019-07-13"
"82434142707","84750476340","SPOUSE","2017-07-14"
"84750476340","82434142707","SPOUSE","2017-07-14"
"10517271986","34524401625","SIBLING","2013-03-11"
"34524401625","10517271986","SIBLING","2013-03-11"
"76576749135","69944144526","SPOUSE","2003-05-12"
"69944144526","76576749135","SPOUSE","2003-05-12"
"52739633776","90557743987","SIBLING","1992-05-22"
"90557743987","52739633776","SIBLING","1992-05-22"
"64667813484","51086567913","PARENT","1998-03-07"
"51086567913","64667813484","OFFSPRING","1998-03-07"
"56474728636","65059168996","SIBLING","1996-05-10"
"65059168996","56474728636","SIBLING","1996-05-10"
"50749489240","48742531018","PARENT","1978-08-02"
"48742531018","50749489240","OFFSPRING","1978-08-02"
"70935473464","94040900090","SPOUSE","1979-02-25"
"94040900090","70935473464","SPOUSE","1979-02-25"
"22930585021","92113894514","SIBLING","2010-02-09"
"92113894514","22930585021","SIBLING","2010-02-09"
"94009294622","90436298445","SIBLING","1984-05-17"
"90436298445","94009294622","SIBLING","1984-05-17"
"69064110365","71804056209","SPOUSE","1991-07-26"
"71804056209","69064110365","SPOUSE","1991-07-26"
"29547126142","13392291219","SPOUSE","2002-01-01"
"13392291219","29547126142","SPOUSE","2002-01-01"
"25712693808","84133878542","SPOUSE","2004-10-06"
"84133878542","25712693808","SPOUSE","2004-10-06"
"76449199463","22468847946","SPOUSE","2000-03-01"
"22468847946","76449199463","SPOUSE","2000-03-01"
"32401296859","66299912040","PARENT","1985-09-12"
"66299912040","32401296859","OFFSPRING","1985-09-12"
"30784965365","13562689541","PARENT","1990-05-07"
"13562689541","30784965365","OFFSPRING","1990-05-07"
"45061533474","25862533645","SIBLING","2019-04-13"
"25862533645","45061533474","SIBLING","2019-04-13"
"67754282987","99518282742","SIBLING","1973-07-15"
"99518282742","67754282987","SIBLING","1973-07-15"
"97272962229","83811498840","SPOUSE","1992-05-30"
"83811498840","97272962229","SPOUSE","1992-05-30"
"83805048857","22371582951","SIBLING","2014-07-24"
"22371582951","83805048857","SIBLING","2014-07-24"
"65922905796","73383984033","SIBLING","1993-10-20"
"73383984033","65922905796","SIBLING","1993-10-20"
"14525441367","73615758482","SPOUSE","2008-08-24"
"73615758482","14525441367","SPOUSE","2008-08-24"
"27931536305","20948001552","SIBLING","2011-07-03"
"20948001552","27931536305","SIBLING","2011-07-03"
"34593198592","82847250337","SPOUSE","1997-12-22"
"82847250337","34593198592","SPOUSE","1997-12-22"
"37879490459","18686369976","PARENT","2005-03-08"
"18686369976","37879490459","OFFSPRING","2005-03-08"
"73794272624","96922686500","SPOUSE","1973-10-23"
"96922686500","73794272624","SPOUSE","1973-10-23"
"70722502104","92939411888","PARENT","1973-03-09"
"92939411888","70722502104","OFFSPRING","1973-03-09"
"65566393953","42730904469","SIBLING","1971-07-06"
"42730904469","65566393953","SIBLING","1971-07-06"
"48224973412","74216767884","PARENT","2007-03-09"
"74216767884","48224973412","OFFSPRING","2007-03-09"
"74420843649","63602236004","PARENT","2015-04-06"
"63602236004","74420843649","OFFSPRING","2015-04-06"
"76043528412","27013159571","PARENT","2002-03-03"
"27013159571","76043528412","OFFSPRING","2002-03-03"
"94890614912","24630054893","SIBLING","1998-12-19"
"24630054893","94890614912","SIBLING","1998-12-19"
"90625643854","27804497963","PARENT","2014-11-23"
"27804497963","90625643854","OFFSPRING","2014-11-23"
"63123820970","85841039893","PARENT","2014-07-22"
"85841039893","63123820970","OFFSPRING","2014-07-22"
"87812755538","83202615472","SIBLING","1975-11-03"
"83202615472","87812755538","SIBLING","1975-11-03"
"83788471633","35874749037","SPOUSE","1980-03-11"
"35874749037","83788471633","SPOUSE","1980-03-11"
"19216552144","64978648800","SPOUSE","2000-05-14"
"64978648800","19216552144","SPOUSE","2000-05-14"
"35860848781","32552506727","SPOUSE","1985-11-13"
"32552506727","35860848781","SPOUSE","1985-11-13"
"49690757616","21350306872","SPOUSE","1983-12-09"
"21350306872","49690757616","SPOUSE","1983-12-09"
"80171963700","36819594483","SPOUSE","2015-07-27"
"36819594483","80171963700","SPOUSE","2015-07-27"
"96873364928","19663727526","SPOUSE","2000-02-09"
"19663727526","96873364928","SPOUSE","2000-02-09"
"40282634094","98271951284","SPOUSE","1978-01-22"
"98271951284","40282634094","SPOUSE","1978-01-22"
"15328635719","93817426266","SPOUSE","1993-05-03"
"93817426266","15328635719","SPOUSE","1993-05-03"
"76803172852","64053390165","SIBLING","2005-02-22"
"64053390165","76803172852","SIBLING","2005-02-22"
"95768769762","68867828707","PARENT","2005-05-31"
"68867828707","95768769762","OFFSPRING","2005-05-31"
"89329141980","65786324835","SPOUSE","1981-04-03"
"65786324835","89329141980","SPOUSE","1981-04-03"
"51561694986","60621292784","SPOUSE","2019-12-22"
"60621292784","51561694986","SPOUSE","2019-12-22"
"64163125921","76333569303","SPOUSE","1981-04-10"
"76333569303","64163125921","SPOUSE","1981-04-10"
"76403643140","81378816493","SIBLING","1976-04-14"
"81378816493","76403643140","SIBLING","1976-04-14"
"77724757824","90088071268","PARENT","2008-02-25"
"90088071268","77724757824","OFFSPRING","2008-02-25"
"23428921295","61030142727","SIBLING","1988-10-31"
"61030142727","23428921295","SIBLING","1988-10-31"
"71915729698","30868191861","SPOUSE","1990-11-24"
"30868191861","71915729698","SPOUSE","1990-11-24"
"60002677676","19937232849","SIBLING","1986-04-06"
"19937232849","60002677676","SIBLING","1986-04-06"
"46076643299","60182161554","SPOUSE","2012-01-08"
"60182161554","46076643299","SPOUSE","2012-01-08"
"17804373477","45716286407","PARENT","1975-01-12"
"45716286407","17804373477","OFFSPRING","1975-01-12"
"56027861638","53996038796","PARENT","1977-11-16"
"53996038796","56027861638","OFFSPRING","1977-11-16"
"53494009571","59272223700","PARENT","1986-08-16"
"59272223700","53494009571","OFFSPRING","1986-08-16"
"14750961553","16566359226","SPOUSE","2005-03-17"
"16566359226","14750961553","SPOUSE","2005-03-17"
"62866150110","11847321282","PARENT","1986-02-27"
"11847321282","62866150110","OFFSPRING","1986-02-27"
"96922686500","61404265147","SPOUSE","1984-11-08"
"61404265147","96922686500","SPOUSE","1984-11-08"
"70416431099","80420975642","SPOUSE","1993-07-21"
"80420975642","70416431099","SPOUSE","1993-07-21"
"81038179946","79128027105","SPOUSE","1994-11-09"
"79128027105","81038179946","SPOUSE","1994-11-09"
"74313107809","52937205318","SPOUSE","2003-11-11"
"52937205318","74313107809","SPOUSE","2003-11-11"
"22468948645","87277951637","SPOUSE","2002-01-14"
